192.168.1.100 - - [08/Jul/2025:10:15:23 +0000] "GET /api/users HTTP/1.1" 200 1234 "-" "Mozilla/5.0"
192.168.1.101 - - [08/Jul/2025:10:15:45 +0000] "POST /api/login HTTP/1.1" 200 567 "-" "Mozilla/5.0"
192.168.1.102 - - [08/Jul/2025:10:16:12 +0000] "GET /api/products HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.103 - - [08/Jul/2025:10:16:34 +0000] "GET /dashboard HTTP/1.1" 200 2345 "-" "Mozilla/5.0"
192.168.1.104 - - [08/Jul/2025:10:17:01 +0000] "POST /api/orders HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.105 - - [08/Jul/2025:10:17:23 +0000] "GET /api/stats HTTP/1.1" 200 891 "-" "Mozilla/5.0"
192.168.1.106 - - [08/Jul/2025:10:17:45 +0000] "DELETE /api/users/123 HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.107 - - [08/Jul/2025:10:18:12 +0000] "GET /health HTTP/1.1" 200 156 "-" "Mozilla/5.0"192.168.1.100 - - [08/Jul/2025:10:15:23 +0000] "GET /api/users HTTP/1.1" 200 1234 "-" "Mozilla/5.0"
192.168.1.101 - - [08/Jul/2025:10:15:45 +0000] "POST /api/login HTTP/1.1" 200 567 "-" "Mozilla/5.0"
192.168.1.102 - - [08/Jul/2025:10:16:12 +0000] "GET /api/products HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.103 - - [08/Jul/2025:10:16:34 +0000] "GET /dashboard HTTP/1.1" 200 2345 "-" "Mozilla/5.0"
192.168.1.104 - - [08/Jul/2025:10:17:01 +0000] "POST /api/orders HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.105 - - [08/Jul/2025:10:17:23 +0000] "GET /api/stats HTTP/1.1" 200 891 "-" "Mozilla/5.0"
192.168.1.106 - - [08/Jul/2025:10:17:45 +0000] "DELETE /api/users/123 HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.107 - - [08/Jul/2025:10:18:12 +0000] "GET /health HTTP/1.1" 200 156 "-" "Mozilla/5.0"192.168.1.100 - - [08/Jul/2025:10:15:23 +0000] "GET /api/users HTTP/1.1" 200 1234 "-" "Mozilla/5.0"
192.168.1.101 - - [08/Jul/2025:10:15:45 +0000] "POST /api/login HTTP/1.1" 200 567 "-" "Mozilla/5.0"
192.168.1.102 - - [08/Jul/2025:16:110:2 +0000] "GET /api/products HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.103 - - [08/Jul/2025:10:16:34 +0000] "GET /dashboard HTTP/1.1" 200 2345 "-" "Mozilla/5.0"
192.168.1.104 - - [08/Jul/2025:10:17:01 +0000] "POST /api/orders HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.105 - - [08/Jul/2025:10:17:23 +0000] "GET /api/stats HTTP/1.1" 200 891 "-" "Mozilla/5.0"
192.168.1.106 - - [08/Jul/2025:10:17:45 +0000] "DELETE /api/users/123 HTTP/1.1" 500 0 "-" "Mozilla/5.0"
192.168.1.107 - - [08/Jul/2025:10:18:12 +0000] "GET /health HTTP/1.1" 200 156 "-" "Mozilla/5.0"
